ay,ax,time,az,vz,vy,vx,comp
-0.02,0.032,6.0457377433776855,1.023,-0.486,0.637,-0.343,-73.71174027278232
-0.017,0.024,6.048542499542236,1.021,-0.486,0.637,-0.343,-73.71174027278232
-0.008,0.036,6.693628311157227,1.011,-0.346,1.022,-0.518,-73.71174027278232
0.001,0.053,6.696036100387573,1.0,-0.381,1.127,0.182,-74.05460409907715
-0.005,0.039,6.696582317352295,1.017,0.074,1.547,-0.833,-74.05460409907715
-0.017,0.032,6.696915864944458,1.014,-0.311,1.477,0.042,-74.05460409907715
-0.021,0.047,6.697189807891846,1.017,-0.241,1.442,0.392,-74.05460409907715
-0.01,0.032,6.697438478469849,0.998,-0.591,1.512,0.042,-74.05460409907715
-0.015,0.05,6.697676658630371,1.017,0.004,1.302,0.252,-74.05460409907715
-0.022,0.05,6.6979079246521,1.009,0.249,1.407,-0.133,-74.05460409907715
-0.013,0.027,6.698139190673828,1.011,-0.976,1.652,-0.098,-73.22477446466591
0.001,0.042,6.698371410369873,1.015,-0.451,1.197,0.322,-73.22477446466591
-0.017,0.044,6.698640823364258,1.01,-0.521,1.582,0.847,-73.22477446466591
-0.017,0.03,6.698891639709473,1.003,-0.661,1.022,0.217,-73.22477446466591
-0.003,0.047,7.3257482051849365,1.018,-0.171,1.232,-0.133,-73.22477446466591
-0.034,0.029,7.328166723251343,1.014,-0.871,1.477,0.112,-73.91675239629215
-0.014,0.037,7.328655958175659,1.022,-0.346,1.232,-0.098,-73.91675239629215
-0.004,0.051,7.329023122787476,1.012,-0.241,1.477,0.077,-73.91675239629215
-0.017,0.037,7.32936692237854,1.012,-0.451,1.022,0.252,-73.60475552848601
-0.014,0.057,7.329692125320435,1.017,-0.591,1.617,0.112,-73.60475552848601
-0.012,0.039,7.330011606216431,1.02,-0.451,1.057,-0.413,-73.60475552848601
-0.029,0.056,7.33032488822937,1.008,-0.136,1.652,0.427,-73.60475552848601
-0.005,0.043,7.3306379318237305,1.012,-0.906,0.427,1.372,-73.60475552848601
-0.023,0.039,7.330947399139404,1.004,-0.521,1.547,-0.833,-73.60475552848601
-0.035,0.061,7.331260681152344,1.033,0.179,2.422,-1.533,-73.60475552848601
