comp,ax,time,ay,vx,az,vy,vz
-80.21050305386176,-0.03,14.345665216445923,0.049,-0.258,1.017,1.068,-0.262
-80.21050305386176,-0.036,14.345915079116821,0.035,-0.293,0.996,0.963,-0.157
-80.65131255461131,-0.027,14.346163272857666,0.049,-0.258,1.007,0.578,-0.192
-80.65131255461131,-0.024,14.346414804458618,0.053,-0.538,1.016,0.718,-0.122
-80.65131255461131,-0.029,14.346655130386353,0.065,-0.363,0.997,0.753,-0.052
-80.65131255461131,-0.028,14.348384380340576,0.053,-0.328,1.014,1.033,-0.052
-80.65131255461131,-0.027,14.928802490234375,0.062,-0.293,1.003,0.823,-0.122
-80.03014717720673,-0.028,14.929358959197998,0.055,-0.118,1.01,0.823,0.228
-80.03014717720673,-0.026,14.93115234375,0.061,-0.433,0.999,1.033,0.053
-80.03014717720673,-0.037,14.931482315063477,0.046,-0.328,1.018,0.893,0.158
-80.03014717720673,-0.029,14.931775569915771,0.048,-0.188,1.009,0.998,0.123
-80.03014717720673,-0.028,14.932058095932007,0.05,-0.118,1.003,0.823,-0.122
-80.03014717720673,-0.031,14.932336568832397,0.057,-0.048,1.022,0.998,-0.122
-79.91173399444045,-0.029,14.932607889175415,0.05,-0.013,1.013,0.928,-0.402
-79.91173399444045,-0.032,14.93287992477417,0.051,-0.223,1.012,1.138,-0.297
-79.91173399444045,-0.031,14.9331533908844,0.053,-0.223,1.012,1.033,-0.402
-79.91173399444045,-0.028,14.9334237575531,0.054,-0.118,0.999,0.683,-0.192
-79.91173399444045,-0.026,14.937803030014038,0.048,-0.433,1.013,0.788,-0.297
-79.91173399444045,-0.033,15.517855405807495,0.058,-0.153,1.007,0.508,-0.157
-80.26478033332643,-0.034,15.519695281982422,0.042,0.092,1.018,1.138,-0.087
-80.26478033332643,-0.02,15.51996111869812,0.048,0.092,0.994,0.858,-0.122
-80.26478033332643,-0.028,15.520233154296875,0.059,-0.118,0.999,1.243,-0.052
-80.26478033332643,-0.033,15.520489931106567,0.055,-0.118,1.023,1.208,-0.192
-80.26478033332643,-0.025,15.520724058151245,0.054,-0.118,0.999,0.823,-0.052
-80.26478033332643,-0.024,15.52097201347351,0.05,-0.398,1.0,0.893,-0.122
-80.26478033332643,-0.025,15.521236896514893,0.057,-0.293,1.009,0.718,0.018
-80.55855817716994,-0.029,15.52147364616394,0.057,-0.328,1.01,0.858,-0.122
-80.55855817716994,-0.027,15.521700143814087,0.049,-0.223,1.015,0.823,-0.227
-80.55855817716994,-0.03,15.521926403045654,0.053,-0.223,1.017,1.033,0.018
-80.55855817716994,-0.027,16.017596006393433,0.054,-0.223,1.004,0.928,-0.297
-79.94185691013865,-0.027,16.01811194419861,0.059,-0.293,1.004,0.718,-0.262
-79.94185691013865,-0.027,16.01974368095398,0.053,-0.188,1.01,1.033,-0.227
-79.94185691013865,-0.026,16.020019054412842,0.06,-0.013,1.013,1.278,-0.262
-79.94185691013865,-0.029,16.02026915550232,0.056,-0.048,1.019,1.103,-0.157
-79.94185691013865,-0.018,16.020503759384155,0.065,0.092,1.003,1.278,-0.087
-80.45203006070014,-0.025,16.020737171173096,0.059,-0.153,1.006,1.103,-0.157
-80.45203006070014,-0.033,16.02096962928772,0.041,-0.013,1.011,1.033,0.193
-80.45203006070014,-0.028,16.021214485168457,0.055,-0.153,1.007,0.928,-0.017
-80.45203006070014,-0.031,16.021479845046997,0.041,-0.293,1.014,0.788,0.088
-80.45203006070014,-0.029,16.021733283996582,0.044,-0.398,1.004,0.998,0.193
-80.45203006070014,-0.027,16.451746702194214,0.07,-0.258,1.006,1.033,0.088
-80.07023399131403,-0.026,16.453675985336304,0.063,-0.223,1.017,0.823,-0.052
-80.297306884827,-0.026,16.45399308204651,0.05,-0.188,1.018,0.928,-0.297
-80.297306884827,-0.038,16.454241275787354,0.049,0.057,1.006,1.033,-0.227
-80.297306884827,-0.025,16.4545259475708,0.052,-0.083,1.008,1.243,-0.192
-80.297306884827,-0.028,16.454835891723633,0.062,0.022,1.005,1.033,-0.227
-80.297306884827,-0.033,16.455129861831665,0.05,-0.223,1.012,1.173,-0.087
-80.297306884827,-0.026,16.455414056777954,0.055,-0.083,1.006,0.998,0.053
-80.297306884827,-0.022,16.45572543144226,0.053,-0.188,1.003,0.753,0.018
-80.297306884827,-0.029,16.456043004989624,0.069,-0.433,1.022,0.788,0.088
-80.297306884827,-0.029,16.45634937286377,0.055,-0.398,1.006,0.648,-0.017
-80.297306884827,-0.034,16.904977560043335,0.057,-0.328,1.017,0.753,0.088
-80.55347989118661,-0.028,16.905476808547974,0.054,-0.153,1.023,1.068,-0.052
-80.55347989118661,-0.028,16.90710210800171,0.049,-0.188,1.0,0.963,-0.297
-80.55347989118661,-0.03,16.907301425933838,0.05,-0.048,1.017,0.893,-0.122
-80.55347989118661,-0.021,16.907476663589478,0.058,-0.468,1.006,0.963,-0.017
-80.55347989118661,-0.024,16.907641887664795,0.059,-0.258,1.005,0.858,-0.087
-80.3464568174757,-0.023,16.90780282020569,0.058,-0.433,1.015,0.788,0.123
-80.3464568174757,-0.032,16.9079692363739,0.048,-0.328,1.008,0.998,0.053
