ay,vy,time,ax,vx,az,vz,comp
0.003,0.567,37.8755784034729,0.053,-0.343,1.015,-0.836,-74.42906272182772
-0.016,0.777,37.87580418586731,0.013,0.497,1.017,-0.346,-75.2751504019268
-0.032,1.162,37.876060009002686,0.027,0.147,1.02,-0.276,-75.2751504019268
-0.01,-0.098,37.876298904418945,0.041,-0.588,1.001,-0.276,-75.2751504019268
0.008,2.002,38.50776410102844,0.037,0.427,0.995,-0.871,-75.2751504019268
-0.023,0.952,38.51001000404358,0.041,0.532,1.001,-0.626,-74.65705828247052
-0.019,1.267,38.51051878929138,0.036,-0.028,1.006,-0.696,-74.65705828247052
-0.004,0.812,38.51087784767151,0.043,0.077,1.015,0.004,-74.13797973800455
-0.011,1.407,38.511215925216675,0.035,-0.203,1.012,-0.591,-74.13797973800455
-0.024,1.232,38.511547327041626,0.038,-0.238,1.018,-0.311,-74.13797973800455
-0.012,0.812,38.511871576309204,0.044,0.217,1.009,-0.626,-74.13797973800455
0.001,1.687,38.512189865112305,0.031,-0.063,1.005,-0.486,-74.13797973800455
-0.026,0.287,38.51250720024109,0.044,0.462,1.012,-0.311,-74.13797973800455
-0.022,0.637,38.51282215118408,0.042,0.077,1.017,-0.626,-74.13797973800455
-0.004,1.197,38.51313495635986,0.024,-0.693,1.005,-0.486,-74.13797973800455
-0.014,0.567,38.51785755157471,0.049,0.672,1.02,-0.696,-74.13797973800455
-0.027,0.602,39.215718507766724,0.035,0.532,1.012,-0.486,-74.13797973800455
-0.014,0.952,39.218085050582886,0.038,-0.308,1.0,-0.451,-74.11918326063534
-0.009,0.322,39.21853303909302,0.038,-0.798,1.006,0.074,-74.11918326063534
-0.007,1.687,39.218921422958374,0.028,0.042,1.02,-0.486,-74.11918326063534
-0.02,1.547,39.21930265426636,0.06,0.217,1.02,-0.871,-74.11918326063534
-0.006,-0.343,39.219618797302246,0.032,0.252,1.009,-0.346,-74.11918326063534
-0.003,1.127,39.219998359680176,0.035,0.042,0.998,-0.381,-74.11918326063534
-0.021,0.602,39.22041344642639,0.049,-1.148,1.025,-0.451,-74.11918326063534
-0.01,1.127,39.22076487541199,0.039,1.302,1.022,-0.416,-74.11918326063534
-0.023,0.462,39.22114276885986,0.032,0.602,1.012,-0.731,-74.11918326063534
-0.013,1.337,39.22152543067932,0.048,-0.798,1.007,0.039,-74.11918326063534
-0.011,1.127,39.22272229194641,0.024,-0.238,1.01,-0.311,-74.1104261581032
-0.009,0.532,39.94458198547363,0.055,-0.658,1.021,-0.801,-74.1104261581032
0.027,2.247,39.94687080383301,0.002,-1.463,1.036,-0.311,-73.8101672925788
0.015,1.127,39.94723153114319,0.081,0.462,1.046,-0.521,-73.8101672925788
-0.02,-0.168,39.947516679763794,0.055,1.092,1.006,0.074,-73.8101672925788
-0.026,2.807,39.94778490066528,0.018,0.252,0.973,-0.136,-73.8101672925788
-0.006,-0.308,39.94805431365967,0.061,-0.903,1.006,-1.186,-73.8101672925788
0.0,2.037,39.948336124420166,0.0,-0.833,1.032,-0.381,-73.28143237814736
0.005,2.002,39.94862198829651,0.056,0.357,1.03,0.004,-73.28143237814736
-0.031,0.672,39.948883056640625,0.032,1.372,0.993,-0.416,-73.28143237814736
-0.049,1.127,39.94916486740112,0.046,0.707,0.991,-0.346,-73.28143237814736
-0.02,0.707,39.949552059173584,0.055,-1.148,0.997,-0.766,-73.28143237814736
0.007,0.602,40.669883251190186,0.034,-0.693,1.032,-0.346,-73.28143237814736
-0.018,1.477,40.67068576812744,0.049,0.252,1.009,-0.626,-74.54830581485187
-0.014,0.847,40.67295718193054,0.027,-0.518,1.015,-0.381,-74.54830581485187
-0.008,0.007,40.6732976436615,0.042,-0.203,1.013,-0.731,-74.61099204186696
-0.01,1.092,40.67371606826782,0.043,0.112,1.006,-0.381,-74.61099204186696
-0.025,1.022,40.674116134643555,0.033,0.497,1.007,-0.416,-74.61099204186696
-0.005,0.847,40.674492835998535,0.05,0.112,1.009,-0.521,-74.61099204186696
-0.001,0.497,40.67486023902893,0.038,-0.658,1.01,-0.556,-74.61099204186696
-0.009,1.722,40.67521262168884,0.026,0.287,1.003,-0.556,-74.61099204186696
-0.019,0.987,40.67562770843506,0.039,0.427,1.003,-0.416,-74.61099204186696
-0.021,1.582,40.67605233192444,0.049,-0.098,1.009,-0.241,-74.61099204186696
-0.008,1.407,41.38403248786926,0.018,-0.658,1.006,-0.416,-74.61099204186696
-0.009,1.652,41.386306285858154,0.025,-0.203,1.009,-0.591,-73.66497734638668
-0.028,0.497,41.38673424720764,0.058,0.182,1.011,-0.451,-73.66497734638668
-0.013,1.792,41.3870952129364,0.032,-0.448,1.005,-0.661,-73.66497734638668
-0.03,0.567,41.38742280006409,0.03,-0.238,1.006,-0.206,-73.66497734638668
-0.012,0.567,41.38774561882019,0.046,-0.273,1.007,-0.801,-73.66497734638668
-0.02,1.617,41.38806962966919,0.021,-0.658,1.006,-0.941,-73.66497734638668
-0.016,1.162,41.3883843421936,0.05,-0.063,1.014,0.074,-73.66497734638668
-0.025,0.462,41.38870573043823,0.014,0.427,1.001,-0.836,-74.071218794715
-0.012,0.987,41.389037132263184,0.014,-0.133,1.003,-0.521,-74.071218794715
-0.011,0.392,41.3893723487854,0.06,0.217,1.011,-0.451,-74.071218794715
-0.01,1.022,42.11028838157654,0.028,0.042,1.014,-0.346,-74.071218794715
-0.017,1.372,42.112850189208984,0.047,-0.028,1.007,-0.416,-74.64832149528974
-0.013,0.147,42.113263845443726,0.024,0.322,1.015,-0.661,-74.64832149528974
-0.01,2.177,42.11369276046753,0.022,-0.553,1.013,-0.311,-74.64832149528974
-0.019,1.092,42.113959312438965,0.046,-0.238,1.008,-0.346,-74.64832149528974
-0.009,1.162,42.11420488357544,0.041,-0.378,1.017,-0.241,-74.65876006736097
-0.009,1.582,42.11448812484741,0.023,-0.133,1.011,-0.416,-74.65876006736097
-0.01,1.092,42.11478567123413,0.039,0.112,1.014,-0.486,-74.65876006736097
-0.01,0.952,42.115074634552,0.022,0.007,1.001,-0.731,-74.65876006736097
-0.01,1.057,42.115376234054565,0.022,-0.378,1.005,-0.381,-74.65876006736097
-0.01,0.322,42.115673542022705,0.048,0.147,1.015,-0.486,-74.65876006736097
-0.01,-0.063,42.119614601135254,0.024,0.987,1.007,-0.731,-74.65876006736097
-0.015,0.357,42.862133741378784,0.024,0.182,1.012,-0.591,-74.65876006736097
0.009,1.932,42.86448407173157,0.03,-0.413,0.987,-0.591,-73.87956087064182
-0.006,0.392,42.864882946014404,0.036,0.322,1.029,-0.416,-73.87956087064182
-0.007,1.267,42.865164041519165,0.04,0.042,1.025,0.109,-73.87956087064182
-0.022,1.722,42.865450620651245,0.018,0.532,0.972,-0.626,-73.87956087064182
-0.013,1.162,42.865710496902466,0.04,-1.183,0.999,-0.136,-73.87956087064182
-0.005,1.442,42.86595702171326,0.046,0.042,1.009,-1.046,-73.87956087064182
-0.0,1.652,42.866199016571045,0.017,-0.168,1.025,-0.346,-73.87956087064182
-0.017,0.602,42.86643934249878,0.04,0.847,1.03,-0.101,-74.19489023839029
-0.022,1.337,42.86668300628662,0.015,0.007,0.992,-0.381,-74.19489023839029
-0.001,1.407,42.8669548034668,0.015,-0.903,0.98,-0.136,-74.19489023839029
0.001,0.882,43.57899475097656,0.045,0.182,1.019,-1.046,-74.19489023839029
-0.019,0.182,43.58151340484619,0.058,0.497,0.997,-0.836,-74.36406469323258
0.004,2.072,43.582032680511475,0.019,-0.868,0.99,0.074,-74.36406469323258
0.01,-0.483,43.58234739303589,0.035,0.637,1.025,-0.591,-74.36406469323258
-0.037,1.442,43.58262252807617,0.036,0.112,1.003,-0.906,-74.36406469323258
-0.037,0.777,43.582873582839966,0.036,-0.098,0.972,-0.486,-73.61728248729364
-0.004,0.322,43.583120822906494,0.044,-1.043,1.008,0.179,-73.61728248729364
-0.006,1.302,43.58336138725281,0.033,-0.063,1.01,-0.801,-73.61728248729364
-0.026,0.287,43.58360004425049,0.025,0.427,1.01,-0.941,-73.61728248729364
-0.012,1.512,43.58383512496948,0.049,-0.553,1.011,0.074,-73.61728248729364
-0.019,1.477,43.584070682525635,0.029,0.462,1.003,-0.451,-73.61728248729364
-0.021,1.092,43.58839559555054,0.029,0.497,1.008,-0.381,-73.61728248729364
0.002,0.532,44.28728222846985,0.03,-0.588,1.014,-0.626,-73.61728248729364
-0.009,1.792,44.28940439224243,0.046,-0.273,1.012,-0.206,-73.66827805895458
-0.004,0.672,44.28974366188049,0.029,-0.378,1.013,-0.591,-73.66827805895458
-0.026,1.127,44.290008783340454,0.048,0.077,1.023,0.004,-73.57964996494856
-0.014,0.532,44.290260791778564,0.035,0.077,1.015,-0.976,-73.57964996494856
0.006,1.512,44.2905011177063,0.057,0.847,1.007,-0.311,-73.57964996494856
-0.018,0.252,44.29080271720886,0.051,0.497,1.01,-0.241,-73.57964996494856
-0.027,1.302,44.29112505912781,0.034,-1.078,1.012,-0.031,-73.57964996494856
-0.009,1.757,44.291483879089355,0.031,-0.868,1.01,-0.451,-73.57964996494856
-0.009,1.197,44.29176950454712,0.031,-0.868,1.01,-0.591,-73.57964996494856
-0.023,0.532,44.292009353637695,0.045,0.672,1.006,-0.521,-73.57964996494856
-0.021,0.497,45.00047707557678,0.019,-0.448,1.01,-0.626,-73.57964996494856
-0.022,1.162,45.00286245346069,0.048,-0.273,0.978,-0.626,-74.27676576007896
0.003,1.617,45.00331449508667,0.028,-10.178,1.012,-0.731,-74.27676576007896
0.012,0.567,45.00364422798157,0.059,-0.833,1.049,-0.101,-74.27676576007896
-0.024,1.827,45.003958225250244,0.055,0.882,1.028,-0.206,-74.27676576007896
-0.028,1.092,45.004255294799805,0.028,-1.148,0.975,-0.556,-74.27676576007896
-0.006,0.952,45.00455331802368,0.048,-0.448,1.023,-0.906,-74.27676576007896
-0.006,-0.028,45.00484609603882,0.048,-0.448,1.023,-0.766,-74.27676576007896
-0.036,0.882,45.005138874053955,0.017,1.022,1.028,0.214,-74.27676576007896
-0.015,0.532,45.00544452667236,0.014,0.182,1.006,-0.451,-74.27676576007896
0.002,0.707,45.00574994087219,0.027,-0.273,0.968,-0.941,-74.0102468005307
0.007,2.177,45.00603914260864,0.046,-0.833,1.023,-0.731,-74.0102468005307
-0.022,0.707,45.719435691833496,0.034,-0.343,1.022,-0.381,-74.0102468005307
-0.001,1.197,45.72167706489563,0.034,0.497,1.017,-0.276,-73.44397556242878
-0.022,0.987,45.72219777107239,0.028,0.707,1.019,-0.661,-73.44397556242878
-0.003,0.182,45.72258639335632,0.034,-0.343,0.998,-0.206,-73.44397556242878
0.001,1.232,45.722952365875244,0.025,-0.518,1.008,-0.416,-73.44397556242878
-0.001,1.897,45.72333812713623,0.027,0.007,1.012,-0.626,-73.44397556242878
-0.032,1.512,45.723735332489014,0.05,0.287,1.025,-0.556,-73.44397556242878
-0.01,1.267,45.724098443984985,0.039,-0.658,1.01,-0.101,-74.60900788580267
0.003,1.022,45.72444772720337,0.044,-0.203,1.02,-0.451,-74.60900788580267
-0.024,1.022,45.72478699684143,0.032,0.777,1.012,-0.556,-74.60900788580267
-0.024,1.022,45.72514367103577,0.032,0.777,1.012,-0.381,-74.60900788580267
-0.006,0.567,45.725449562072754,0.038,0.322,0.997,-0.661,-74.60900788580267
0.003,1.232,46.450294733047485,0.034,-0.728,1.015,-0.486,-74.60900788580267
0.0,1.757,46.45300221443176,0.037,0.217,1.009,-0.416,-74.3482522804529
-0.014,0.007,46.45353055000305,0.039,0.602,1.006,-0.626,-73.95763357836898
-0.015,1.197,46.45390558242798,0.034,-0.133,1.007,-0.521,-73.95763357836898
-0.009,0.357,46.4542133808136,0.042,0.077,1.015,-0.241,-73.95763357836898
-0.007,1.757,46.45448136329651,0.04,0.042,1.005,-0.626,-73.95763357836898
-0.015,0.532,46.45473623275757,0.027,-0.063,1.003,-0.591,-73.95763357836898
-0.013,0.952,46.454983711242676,0.042,0.007,1.021,-0.171,-73.95763357836898
-0.017,0.917,46.455228328704834,0.031,-0.623,1.01,-0.241,-73.95763357836898
-0.015,0.917,46.455474853515625,0.032,-0.623,1.01,-0.241,-73.95763357836898
-0.005,0.707,46.455729722976685,0.041,0.007,1.013,-0.976,-73.95763357836898
-0.015,0.287,46.45988631248474,0.05,0.812,1.012,-0.416,-74.6513847724558
-0.015,0.847,47.15756702423096,0.05,0.812,1.012,-0.276,-74.6513847724558
-0.019,1.477,47.15981841087341,0.03,-0.623,1.008,-0.521,-75.11049920734344
0.004,1.302,47.16020917892456,0.017,-0.658,1.005,-0.661,-75.11049920734344
-0.027,1.127,47.16053080558777,0.032,0.217,1.014,0.004,-75.11049920734344
-0.032,1.792,47.160852909088135,0.044,0.357,1.015,-0.136,-75.11049920734344
-0.006,0.812,47.16114902496338,0.031,-0.588,1.008,-0.556,-75.11049920734344
-0.011,0.567,47.161452531814575,0.029,0.287,1.01,-0.731,-75.11049920734344
-0.031,0.567,47.1617534160614,0.03,0.287,1.019,-0.731,-75.11049920734344
-0.01,1.232,47.162049293518066,0.032,-0.203,1.009,-0.346,-75.11049920734344
-0.007,0.427,47.16235280036926,0.042,0.497,1.002,-0.766,-74.07686353055752
-0.007,0.427,47.162649154663086,0.042,0.497,1.002,-0.766,-74.07686353055752
-0.012,0.532,47.89215898513794,0.025,-0.028,1.009,-0.381,-74.07686353055752
-0.018,0.707,47.89455533027649,0.05,-0.623,1.017,-0.486,-73.63201948137265
-0.027,0.707,47.89494562149048,0.044,-0.623,1.01,-0.486,-73.63201948137265
-0.015,1.582,47.895219564437866,0.029,-0.413,1.006,-0.311,-73.63201948137265
-0.006,0.952,47.89547395706177,0.038,0.462,1.013,-0.171,-73.5184994908915
-0.015,1.022,47.895721197128296,0.034,0.217,1.009,-0.836,-73.5184994908915
-0.01,0.882,47.895963191986084,0.037,0.112,1.009,-0.276,-73.5184994908915
0.0,0.707,47.896201848983765,0.03,0.147,1.001,-0.486,-73.5184994908915
-0.027,1.232,47.896437883377075,0.021,0.252,1.004,-0.941,-73.5184994908915
0.007,0.847,47.89674186706543,0.044,-0.483,1.015,-0.486,-73.5184994908915
-0.005,1.197,47.89708352088928,0.033,0.042,1.021,-0.416,-73.5184994908915
-0.022,0.777,48.61960983276367,0.033,0.637,1.01,-0.381,-73.5184994908915
-0.001,1.372,48.62201738357544,0.029,0.182,1.009,-0.171,-74.71428131079304
0.001,1.372,48.622541189193726,0.031,0.182,1.011,-0.171,-74.71428131079304
-0.031,1.547,48.62287759780884,0.035,0.112,1.009,-0.486,-74.71428131079304
-0.012,0.742,48.62316560745239,0.039,-0.273,1.016,-0.486,-74.71428131079304
-0.008,1.197,48.623446464538574,0.034,-0.693,1.018,0.004,-74.71428131079304
-0.001,0.847,48.62372279167175,0.034,0.357,1.012,-0.731,-74.71428131079304
-0.026,1.337,48.62404012680054,0.04,0.392,1.004,-0.731,-74.71428131079304
-0.011,0.322,48.62433624267578,0.03,0.007,0.999,-0.311,-74.71428131079304
-0.007,0.462,48.62460708618164,0.03,0.287,1.013,-0.836,-74.71428131079304
-0.018,0.882,48.62487053871155,0.031,0.427,1.013,-0.276,-74.19157477029452
-0.02,1.162,48.6251335144043,0.034,0.077,1.007,-0.626,-74.19157477029452
-0.007,0.462,49.3747935295105,0.041,0.252,1.006,-0.451,-74.19157477029452
-0.004,1.197,49.37703323364258,0.043,-0.098,1.02,-0.731,-74.20076648485662
-0.018,1.022,49.37750196456909,0.033,0.077,1.011,-0.206,-74.20076648485662
-0.012,1.652,49.37783169746399,0.045,-0.168,1.001,-0.031,-73.90772006395835
-0.002,0.987,49.3781418800354,0.026,-0.063,1.001,-0.661,-73.90772006395835
-0.026,1.547,49.37844634056091,0.032,-0.308,1.025,-0.311,-73.90772006395835
-0.026,1.547,49.37874460220337,0.058,-0.308,1.025,-0.311,-73.90772006395835
-0.009,1.197,49.3790397644043,0.027,-0.098,1.0,-0.346,-73.90772006395835
-0.015,0.812,49.379332304000854,0.021,0.812,1.015,-0.976,-73.90772006395835
-0.015,1.302,49.37962460517883,0.036,0.007,1.014,-0.731,-73.90772006395835
-0.016,0.182,49.37992477416992,0.049,0.042,1.007,-0.206,-73.90772006395835
-0.001,1.232,50.09440851211548,0.018,0.182,1.002,-0.661,-73.90772006395835
-0.032,-0.343,50.095043897628784,0.022,2.352,0.995,-0.276,-74.18242802288604
-0.026,1.302,50.09543991088867,0.016,-0.658,0.991,-0.591,-74.18242802288604
0.0,-0.343,50.09736609458923,0.06,-1.918,1.01,-1.466,-74.18242802288604
0.022,1.162,50.09767508506775,0.042,-0.693,1.028,-0.556,-74.18242802288604
-0.014,2.002,50.0979540348053,0.05,0.602,1.03,0.494,-74.18242802288604
-0.022,-0.623,50.0982232093811,0.046,0.567,1.0,-1.011,-74.18242802288604
0.009,2.387,50.09851384162903,0.026,0.252,1.012,-0.381,-74.18242802288604
-0.015,-0.063,50.098787784576416,0.027,-0.518,0.994,-0.591,-74.18242802288604
-0.012,1.302,50.09905529022217,0.04,-0.133,1.034,-0.696,-74.3389895744059
-0.018,1.022,50.09933304786682,0.024,-0.343,1.01,0.074,-74.3389895744059
-0.004,1.057,50.10402822494507,0.015,0.112,0.984,-0.836,-74.3389895744059
-0.012,0.357,50.84175181388855,0.046,0.462,1.009,-0.521,-74.3389895744059
-0.036,2.282,50.84414863586426,0.044,0.357,1.017,-0.591,-74.66671520694645
-0.002,0.392,50.84473371505737,0.035,-1.008,1.001,-0.346,-74.6720695405815
0.006,1.337,50.84507751464844,0.037,-0.938,1.003,-0.451,-74.5939864867489
-0.004,1.862,50.84540843963623,0.033,0.357,1.018,-0.241,-74.5939864867489
-0.025,1.022,50.8457088470459,0.034,0.427,1.016,-0.591,-74.5939864867489
-0.01,1.372,50.84599161148071,0.068,-0.623,1.012,-0.311,-74.5939864867489
0.006,2.072,50.84626841545105,0.008,-0.413,0.994,-0.381,-74.5939864867489
-0.013,-0.413,50.84653663635254,0.046,0.147,1.021,-0.836,-74.5939864867489
-0.015,0.147,50.846797466278076,0.047,-0.868,1.012,-0.451,-74.5939864867489
-0.001,0.882,50.847054958343506,0.027,0.007,1.003,-0.136,-74.5939864867489
-0.029,1.862,51.60268568992615,0.052,0.637,1.022,-0.871,-74.5939864867489
