comp,az,vy,vx,ax,vz,time,ay
-77.26528220177747,1.009,0.683,-0.188,0.01,0.403,3.547013282775879,-0.005
-77.26528220177747,1.012,0.893,-0.223,0.01,0.333,3.547295570373535,-0.013
-77.26528220177747,1.006,1.208,-0.468,0.009,0.228,3.54750394821167,-0.01
-76.90681176454453,1.018,0.823,-0.153,0.014,0.123,3.5477027893066406,-0.013
-76.90681176454453,1.008,1.033,-0.433,0.01,0.053,3.5478954315185547,-0.009
-76.90681176454453,1.011,0.893,-0.363,0.009,0.053,3.5480730533599854,-0.007
-76.90681176454453,1.007,0.858,-0.328,0.008,-0.052,3.5494608879089355,0.003
-76.90681176454453,1.01,1.278,-0.608,0.011,0.053,4.045886039733887,-0.018
-78.29682619690487,0.892,-24.062,-22.868,-0.028,55.528,4.047840595245361,-0.017
-78.29682619690487,0.898,-24.062,-22.868,0.028,55.528,4.048238039016724,-0.026
-78.29682619690487,1.045,-30.922,-26.403,0.045,51.328,4.048530101776123,0.028
-78.29682619690487,1.226,-40.092,-32.493,0.084,45.903,4.048752307891846,0.016
-78.29682619690487,1.226,-40.092,-32.493,0.084,43.663,4.049067735671997,0.016
-78.29682619690487,1.049,-29.102,-11.458,0.019,39.078,4.049387216567993,0.078
-82.14881417454801,1.054,-25.112,-8.553,0.087,29.208,4.049622535705566,-0.048
-82.14881417454801,1.054,-25.252,-7.328,0.087,25.568,4.049821615219116,-0.048
-82.14881417454801,1.075,-27.247,-9.253,0.11,19.968,4.050007581710815,-0.032
-82.14881417454801,1.061,-25.952,-13.313,0.131,15.873,4.0501930713653564,0.002
-82.14881417454801,1.101,-27.982,-15.413,0.076,12.618,4.051124334335327,0.016
-82.14881417454801,0.764,-23.467,-19.613,0.118,9.433,4.52693772315979,0.061
-86.64345081500147,0.987,1.208,-7.643,0.186,25.568,4.5276148319244385,-0.216
-86.64345081500147,0.945,2.013,-8.658,0.166,28.088,4.527982234954834,-0.199
-86.64345081500147,0.959,2.608,-8.553,0.178,28.753,4.528301477432251,-0.2
-86.64345081500147,0.825,2.293,-5.893,0.473,28.368,4.528606176376343,-0.165
-86.64345081500147,0.883,-2.117,-8.658,0.196,27.493,4.528904914855957,-0.174
-86.64345081500147,0.987,-3.027,-6.278,0.088,27.353,4.529179096221924,-0.101
-86.64345081500147,1.098,2.048,-5.543,0.121,24.588,4.529474973678589,-0.131
-86.28940588904992,1.029,10.098,2.612,0.147,21.683,4.5297441482543945,-0.166
-86.28940588904992,1.049,12.233,5.937,0.115,20.843,4.531981706619263,-0.144
-86.28940588904992,0.94,17.168,7.337,0.119,18.113,4.532291650772095,-0.171
-86.28940588904992,0.912,17.308,9.122,0.151,17.518,4.532569169998169,-0.174
-86.28940588904992,0.887,14.998,8.807,0.131,16.153,4.997604131698608,-0.169
-86.01006047516299,0.917,2.188,1.807,0.196,-4.077,4.999513626098633,-0.179
-86.01006047516299,1.029,-0.612,4.432,0.112,-4.007,4.999827861785889,-0.209
-86.01006047516299,0.893,1.803,7.162,0.171,-4.847,5.0000433921813965,-0.111
-86.01006047516299,0.972,-1.242,7.862,0.16,-4.777,5.000244617462158,-0.142
-86.01006047516299,0.985,-0.507,9.437,0.156,-4.252,5.00043249130249,-0.173
-86.01006047516299,0.602,4.638,-1.938,0.294,-4.287,5.000615358352661,-0.245
-86.01006047516299,0.326,1.943,-6.243,0.294,-2.432,5.000798225402832,-0.164
-86.01006047516299,1.312,0.193,-0.713,0.174,-0.507,5.0009753704071045,-0.079
-86.16444086072212,0.966,-2.047,-0.538,0.17,-4.777,5.00115442276001,-0.093
-86.16444086072212,1.077,-2.082,4.082,0.189,-3.447,5.00133490562439,-0.014
-86.16444086072212,1.026,-0.332,12.482,0.246,-1.487,5.475891828536987,-0.213
-84.52318363145139,1.167,-0.087,-14.958,-0.169,-58.362,5.477699279785156,0.093
-84.52318363145139,0.966,5.758,-10.023,-0.036,-67.637,5.477965831756592,0.221
-84.52318363145139,0.915,15.523,-5.438,-0.063,-66.132,5.47815465927124,0.173
-84.52318363145139,0.988,19.338,6.637,-0.151,-64.872,5.478334665298462,0.096
-84.52318363145139,0.963,20.598,8.317,-0.122,-64.522,5.478516340255737,0.123
-84.52318363145139,0.945,18.393,18.992,-0.099,-61.862,5.478691339492798,0.179
-84.52318363145139,0.916,16.328,17.172,-0.076,-54.302,5.478862762451172,0.19
-84.52318363145139,0.999,-1.242,6.462,-0.106,-39.777,5.479033708572388,0.118
-84.52318363145139,0.995,-1.242,6.462,-0.1,-39.777,5.4792420864105225,0.172
-84.52318363145139,0.906,-5.757,3.207,-0.064,-29.732,5.479419946670532,0.166
-81.41858361723634,1.036,-4.252,7.897,-0.144,-2.922,5.9553680419921875,0.191
-85.96945021762528,1.08,-1.172,3.802,0.082,-4.812,5.95745849609375,0.142
-86.89270762205899,1.074,-5.197,4.817,0.115,-1.627,5.957944869995117,0.128
-86.89270762205899,1.011,-4.427,6.147,0.088,0.368,5.958248853683472,0.106
-86.89270762205899,0.972,-2.572,9.472,0.103,2.293,5.958526134490967,0.037
-86.89270762205899,0.965,-2.782,12.902,0.05,3.728,5.95879864692688,0.078
-86.89270762205899,1.01,-3.482,11.607,0.056,4.953,5.959068536758423,0.109
-86.89270762205899,1.007,-3.902,9.052,0.119,5.758,5.959380388259888,0.094
-86.89270762205899,1.033,-6.492,11.082,0.051,5.688,5.959656000137329,0.117
-86.89270762205899,0.974,-6.387,8.807,0.063,3.448,5.959966421127319,0.141
-86.89270762205899,1.023,-5.477,9.577,0.049,3.343,5.960238933563232,0.166
-86.89270762205899,0.96,-7.192,12.867,0.074,2.993,5.9605114459991455,0.15
-85.76435307045911,0.991,-7.297,13.112,0.066,0.333,6.386072635650635,0.139
-86.77291007154163,0.969,-10.552,5.867,0.163,8.208,6.388076066970825,0.263
-86.77291007154163,0.991,-7.997,5.867,0.189,7.893,6.388585090637207,0.278
-86.77291007154163,0.986,-4.287,2.612,0.158,6.808,6.388922214508057,0.276
-86.77291007154163,0.964,-0.962,1.527,0.191,4.358,6.389225482940674,0.262
-86.77291007154163,0.964,-0.962,1.527,0.191,4.358,6.389508962631226,0.262
-86.77291007154163,0.97,-0.262,0.302,0.21,2.713,6.38978385925293,0.294
-86.77291007154163,0.926,-2.012,0.617,0.206,2.468,6.390047788619995,0.296
-85.98617005766515,0.984,-2.012,-0.223,0.202,1.978,6.390307426452637,0.287
-85.98617005766515,0.982,-3.272,0.232,0.204,2.363,6.390563726425171,0.284
-85.98617005766515,1.0,-2.292,1.142,0.223,2.468,6.3908185958862305,0.255
-85.98617005766515,0.996,-1.732,2.507,0.207,3.098,6.39107084274292,0.296
-85.98617005766515,0.991,1.523,1.387,0.201,3.658,6.835076570510864,0.251
-87.43036099668333,0.975,0.858,-7.748,0.157,3.203,6.836964130401611,0.177
-88.82497244859698,0.971,-0.262,-6.628,0.144,1.313,6.837293863296509,0.169
-88.82497244859698,0.985,1.383,-5.893,0.148,0.578,6.837519407272339,0.178
-88.82497244859698,0.98,0.543,-5.228,0.172,-0.227,6.837726831436157,0.182
-88.82497244859698,1.011,0.963,-4.948,0.169,-1.382,6.83793044090271,0.192
-88.82497244859698,1.001,0.508,-4.563,0.151,-1.662,6.838132619857788,0.186
